单词,词性1,词性2,词性3,词性4,词性5,释义1,释义2,释义3,释义4,释义5,现在分词,过去式,过去分词,词组,备注
native,adj.,"本地的,本国的;天生的",n.,"本地人,本国人",,,,,,,,,,,
natural,adj.,"正常的; 自然界的,天然的,天赋的,固有的",,,,,,,,,,,,,
nature,n.,"自然界,大自然;性质,本性,天性",,,,,,,,,,,,,
naughty,adj.,"顽皮的,淘气的",,,,,,,,,,,,,
naval,n.,"海军的,军舰的",,,,,,,,,,,,,
navigation,n.,"航海,航空;导航,领航",,,,,,,,,,,,,
navy,n.,海军,,,,,,,,,,,,,
near,adj.,近的，接近的；亲近的,prep.,靠近,adv.,接近,,,,,,,,,
nearby,adj.,附近的,adv.,在附近,prep.,在…附近,,,,,,,,,
nearly,adv.,"差不多,几乎",,,,,,,,,,,,,
neat,adj.,"整洁的,干净的,优美的,精致的",,,,,,,,,,,,,
necessary,adj.,"必需的,必要的;必然的",n.,必需品,,,,,,,,,,,
necessitate,v.,"使成为必要,需要",,,,,,,,,necessitating,necessitated,necessitated,,
necessity,n.,"必要性,需要;必然性;(pl.)必需品",,,,,,,,,,,,,
neck,n.,颈脖,,,,,,,,,,,,,
necklace,n.,项链，项圈,,,,,,,,,,,,,
need,aux.,v./v.需要；必须,n.,需要；贫困，困窘,,,,,,,needing,needed,needed,,
needle,n.,"针,指针,针状物",,,,,,,,,,,,,
negative,adj.,"否定的,消极的,阴性的",n.,负数;(摄影)底片,,,,,,,,,,,
neglect,v.&n.,"忽视;疏忽,漏做,忽略",,,,,,,,,neglecting,neglected,neglected,,
negligible,adj.,可忽略不计的，微不足道的,,,,,,,,,,,,,
negotiate,v.,商订；谈判，洽谈，交涉,,,,,,,,,negotiating,negotiated,negotiated,,
Negro,n.,黑人,adj.,黑人的,,,,,,,,,,,
neighbor,n.,(neighbour)邻居,,,,,,,,,,,,,
neighborhood,n.,"(neighbourhood)邻居;四邻,街道",,,,,,,,,,,,,
neither,adj.,两者都不,pron.,两者都不,adv.,也不,,,,,,,,,
nephew,n.,"侄子,外甥",,,,,,,,,,,,,
nerve,n.,"神经;勇敢,胆量",,,,,,,,,,,,,
nervous,adj.,"神经的;神经过敏的,紧张不安的",,,,,,,,,,,,,
nest,n.,"窝,巢",v.,筑巢,,,,,,,nesting,nested,nested,,
net,n.,"网,网状物",v.,"用网捕,使落网",adj.,纯净的,,,,,netting,netted,netted,,
network,n.,"网状物;广播网,电视网;网络",,,,,,,,,,,,,
neutral,adj.,"中立的;中性的,中和的",,,,,,,,,,,,,
never,adv.,永不，从不，决不；从来没有；不，没有,,,,,,,,,,,,,
nevertheless,conj.,"(nonetheless)然而,不过",adv.,"仍然,不过",,,,,,,,,,,
new,adj.,新(近)的；新来的；不熟悉的；没经验的,,,,,,,,,,,,,
news,n.,新闻，消息；新闻报道，新闻广播,,,,,,,,,,,,,
newspaper,n.,报纸,,,,,,,,,,,,,
next,adj.,紧接的，其次的；贴近的,adv.,其次；居后,,,,,,,,,,,
nice,adj.,美好的，令人愉快的；友好的，亲切的,,,,,,,,,,,,,
nickel,n.,镍;镍币;五美分,,,,,,,,,,,,,
nickname,n.,绰号，浑名,vt.,给…起绰号,,,,,,,nicknaming,nicknamed,nicknamed,,
niece,n.,"侄女,甥女",,,,,,,,,,,,,
night,n.,夜间；夜；晚(上),,,,,,,,,,,,,
nightmare,n.,恶梦；可怕的事物，无法摆脱的恐惧,,,,,,,,,,,,,
nine,num.,九,pron.&adv.,九(个，只),,,,,,,,,,,
nineteen,num.&adj.,十九,pron.,十九(个，只),,,,,,,,,,,
ninety,num.,九十，九十个,,,,,,,,,,,,,
nitrogen,n.,[化]氮,,,,,,,,,,,,,
no,adv.,不是，不,adj.,没有的；不允许,n.,不，拒绝,,,,,,,,,
noble,adj.,"高尚的;贵族的,高贵的",n.,贵族,,,,,,,,,,,
nobody,pron.,"谁也不,无人",n.,小人物,,,,,,,,,,,
nod,v.,"点(头),点头招呼",n.,"点头招呼;打盹,瞌睡",,,,,,,nodding,nodded,nodded,,
noise,n.,"喧闹声,噪声,吵嚷声",,,,,,,,,,,,,
noisy,adj.,"吵闹的,喧闹的",,,,,,,,,,,,,
nominal,adj.,"名义上的;(金额,租金)微不足道的",,,,,,,,,,,,,
nominate,v.,"提名,任命",,,,,,,,,nominating,nominated,nominated,,
none,pron.,没有任何人(东西)；都不,adv.,一点也不,,,,,,,,,,,
nonetheless,adv.,"[nevertheless]虽然如此, 但是",,,,,,,,,,,,,
nonfiction,n.,非虚构类作品，非小说类文学,,,,,,,,,,,,,非大纲单词
nonsense,n.,"胡说,废话",,,,,,,,,,,,,
noodle,n.,(常用复数)面条,,,,,,,,,,,,,
noon,n.,中午，正午,,,,,,,,,,,,,
nor,conj.,／,adv.,也不，也没有,,,,,,,,,,,
norm,n.,"准则,规范,准则,平均数",,,,,,,,,,,,,
normal,adj.,"正常的,普通的;正规的,标准的",,,,,,,,,,,,,
normalization,n.,"(normalisation)正常化,标准化",,,,,,,,,,,,,
north,n.,"北,北方",adj.,"北方的,北部",adv.,"向北方,在北方",,,,,,,,,
northeast,n.,东北,adj.,东北方的,adv.,"向东北,在东北",,,,,,,,,
northern,adj.,"北方的,北部的",,,,,,,,,,,,,
northwest,n.,"西北方,西北部",adj.,西北的,adv.,"向西北,在西北",,,,,,,,,
nose,n.,"鼻子;(飞机,船等的)前端,突出部分",,,,,,,,,,,,,
not,adv.,不，不是，不会；没有,,,,,,,,,,,,,
notable,n.,"值得注意的,显著的,著名的",,,,,,,,,,,,,
note,n.,"笔记;按语,注释;钞票,纸币",v.,"记下,摘下",,,,,,,noting,noted,noted,,
notebook,n.,笔记本,,,,,,,,,,,,,
nothing,n.,没有东西；什么也没有；无关紧要的人或事,,,,,,,,,,,,,
notice,n.,"通知,通告,布告;注意,认识",v.,"注意到,注意",,,,,,,noticing,noticed,noticed,,
noticeable,adj.,"显而易见的,值得注意的,重要的",,,,,,,,,,,,,
notify,v.,"通知,告知,报告",,,,,,,,,notifying,notified,notified,,
notion,n.,"概念,想法,意念,看法,观点",,,,,,,,,,,,,
notorious,adj.,"臭名昭著的,声名狼藉的",,,,,,,,,,,,,
notwithstanding,prep.&adv.&conj.,尽管,,,,,,,,,,,,,
noun,n.,名词,,,,,,,,,,,,,
nourish,v.,"提供养分,养育,怀有(希望,仇恨等)",,,,,,,,,nourishing,nourished,nourished,,
novel,n.,(长篇)小说,adj.,"新奇的,新颖的",,,,,,,,,,,
novelty,n.,"新奇,新颖,新奇的事物",,,,,,,,,,,,,
November,n.,十一月,,,,,,,,,,,,,
now,adv.,现在，如今，目前；当时，于是，然后,,,,,,,,,,,,,
nowadays,adv.,"现今,现在",,,,,,,,,,,,,
nowhere,adv.,"任何地方都不,没有地方",,,,,,,,,,,,,
nuclear,adj.,"核心的,中心的;原子核的,核能的",,,,,,,,,,,,,
nucleus,n.,"(pl.nuclei)核,核心,原子核",,,,,,,,,,,,,
nuisance,n.,讨厌的人(或东西);麻烦事,,,,,,,,,,,,,
numb,adj.,"麻木的,失去感觉的",v.,使麻木,,,,,,,numbing,numbed,numbed,,
number,n.,"数,数字,数量,号码,一群",v.,"共计,编号",,,,,,,numbering,numbered,numbered,,
numerical,adj.,数字的，用数字表示的，数值的,,,,,,,,,,,,,
numerous,adj.,"众多的,许多的,大批的",,,,,,,,,,,,,
nurse,n.,"护士,保姆",v.,"护理,看护",,,,,,,nursing,nursed,nursed,,
nursery,n.,托儿所,,,,,,,,,,,,,
nurture,n.&v.,"养育,教育,教养",n.,营养品,v.,给与营养物,,,,,nurturing,nurtured,nurtured,,
nut,n.,"坚果;螺母,螺帽",,,,,,,,,,,,,
nutrition,n.,"营养,营养学",,,,,,,,,,,,,
nylon,n.,尼龙,,,,,,,,,,,,,
o'clock,adv.,(…)点钟(与 1 至 12 数字连用),,,,,,,,,,,,,
oak,n.,"橡树,橡木",adj.,橡木的,,,,,,,,,,,
oar,n.,"桨,橹",v.,"划,划动,划行",,,,,,,oaring,oared,oared,,
oath,n.,"誓言,誓约,诅咒",,,,,,,,,,,,,
obedience,n.,"服从,顺从",,,,,,,,,,,,,
obedient,adj.,"服从的,顺从的",,,,,,,,,,,,,
obey,v.,"服从, 顺从",,,,,,,,,obeying,obeyed,obeyed,,
object,n.,"物体;客体,对象; 目标;宾语",v.,(to)反对,,,,,,,objecting,objected,objected,,
objection,n.,"(to)反对,异议,不喜欢,反对的理由",,,,,,,,,,,,,
objective,n.,"目标, 目的",adj.,"客观的,真实的",,,,,,,,,,,
obligation,n.,"义务,责任",,,,,,,,,,,,,
oblige,v.,"强迫,迫使;责成;(使)感激,施恩于",,,,,,,,,obliging,obliged,obliged,,
obscure,adj.,"暗的,朦胧的;模糊的,晦涩的",,,,,,,,,,,,,
observation,n.,"观察,观测,监视;(pl.)观察资料;观察力",,,,,,,,,,,,,
observe,v.,"观察,观测,注意到,监视,遵守,评述,说",,,,,,,,,observing,observed,observed,,
obsession,n.,"迷住, 困扰",,,,,,,,,,,,,
obsolete,adj.,"已废弃的,过时的",,,,,,,,,,,,,
obstacle,n.,"障碍(物),妨碍,阻碍,干扰",,,,,,,,,,,,,
obstruct,v.,"阻隔,阻塞(道路、通道等)",n.,"阻碍物,障碍物",,,,,,,obstructing,obstructed,obstructed,,
obstruction,n.,"妨碍,障碍物",,,,,,,,,,,,,
obtain,v.,"获得,得到",,,,,,,,,obtaining,obtained,obtained,,
obvious,adj.,"明显的,显而易见的",,,,,,,,,,,,,
occasion,n.,"场合,时节,时刻;时机,机会",,,,,,,,,,,,,
occasional,adj.,"偶然的,非经常的,特殊场合的;临时的",,,,,,,,,,,,,
occupation,n.,"占领,占据; 占用;职业,工作",,,,,,,,,,,,,
occupy,v.,"占,占用; 占据,占领;使忙碌,使从事",,,,,,,,,occupying,occupied,occupied,,
occur,v.,"发生,出现;存在;想起,想到",,,,,,,,,occurring,occurred,occurred,,
occurrence,n.,"发生,出现;事件,事故,发生的事情",,,,,,,,,,,,,
ocean,n.,海洋,,,,,,,,,,,,,
October,n.,十月,,,,,,,,,,,,,
odd,adj.,奇数的;奇怪的;单只的;临时的;带零头的,,,,,,,,,,,,,
odds,n.,"不平等,差异;机会",,,,,,,,,,,,,
odor,n.,"(odour)气味,香味,臭味,名声",,,,,,,,,,,,,
of,prep.,…的；在…之中；用…制的；关于…的,,,,,,,,,,,,,
off,adv.,离开；在远处；脱开,prep.,从，从…离开,,,,,,,,,,,
offend,v.,"犯罪,冒犯,违反,得罪,使…不愉快",,,,,,,,,offending,offended,offended,,
offensive,adj.,"冒犯的,攻击的",n.,"攻势,进攻",,,,,,,,,,,
offer,v.,"提供,提议,出现",n.,"出价,提议,意图",,,,,,,offering,offered,offered,,
office,n.,"办公室,办事处;职务,公职;部,局,处",,,,,,,,,,,,,
officer,n.,"官员,办事员;工作人员;军官",,,,,,,,,,,,,
official,n.,"官员,行政官员",adj.,"官方的,官方的,正式的",,,,,,,,,,,
offset,n.,"分支,补偿",v.,"抵消,补偿",,,,,,,offsetting,offset,offset,,
offspring,n.,"子孙,后代;结果,产物",,,,,,,,,,,,,
often,adv.,常常，经常，通常,,,,,,,,,,,,,
oil,n.,油，石油,v.,给…加润滑油；涂油，上油,,,,,,,oiling,oiled,oiled,,
okay,adj.,(okey，OK，O.K.)好，行，不错,n.,同意,,,,,,,,,,,
old,adj.,年老的；…岁的；长时间的，老的；过去的,,,,,,,,,,,,,
omit,v.,"省略,删去;遗漏,忽略",,,,,,,,,omitting,omitted,omitted,,
on,adj.,连接上,prep.,在…上；靠近,adv.,向前，继续,,,,,,,,,
once,adv.,一次，曾经,conj.,一(旦)…就…,n.,一次,,,,,,,,,
one,num.,一,pron.,一个(只)(表示代替可数的东西),,,,,,,,,,,
oneself,pron.,[反身代词]自己；亲自，本人,,,,,,,,,,,,,
onion,n.,洋葱,,,,,,,,,,,,,
only,adv.,仅仅，只不过,adj.,唯一的,conj.,可是，不过,,,,,,,,,
onto,prep.,在…上面；到…上面,,,,,,,,,,,,,
opaque,adj.,"不透明(光)的;难理解的,晦涩的",,,,,,,,,,,,,
open,n.,"公开,户外",adj.,"开的,开放的",v.,开,,,,,opening,opened,opened,,
opening,n.,"开,开放,开始,空缺,机会",adj.,"开始的,开幕的",,,,,,,,,,,
opera,n.,歌剧,,,,,,,,,,,,,
operate,v.,"操作,运转,开动,起作用,动手术",,,,,,,,,operating,operated,operated,,
operation,n.,"运转,开动,操作,手术,运算,经营",,,,,,,,,,,,,
operational,adj.,"操作的,运转的,起作用的,经营的",,,,,,,,,,,,,
operator,n.,"操作人员,(电话)接线员",,,,,,,,,,,,,
opinion,n.,"意见,看法,主张",,,,,,,,,,,,,
opponent,n.,"对手,反对者,敌手",adj.,"对立的,对抗的",,,,,,,,,,,
opportunity,n.,机会,,,,,,,,,,,,,
oppose,v.,"反对,使对立,使对抗,使相对",,,,,,,,,opposing,opposed,opposed,,
opposite,adj.,"对面的,相对的,相反的",n.,对立面,,,,,,,,,,,
oppress,v.,"压迫,压制",,,,,,,,,oppressing,oppressed,oppressed,,
oppression,n.,压迫，压制，压抑,,,,,,,,,,,,,非大纲单词
opt,vi.,抉择，选择,,,,,,,,,opting,opted,opted,,
optical,adj.,"眼的,视力的;光学的",,,,,,,,,,,,,
optimism,n.,乐观，乐观主义,,,,,,,,,,,,,非大纲单词
optimistic,adj.,乐观主义的,,,,,,,,,,,,,
optimum,adj.,最适宜的,n.,最适宜(条件),,,,,,,,,,,
option,n.,"选择(权),[商]选择买卖的特权",,,,,,,,,,,,,
optional,adj.,"可以任选的,随意的,非强制的",,,,,,,,,,,,,
or,conj.,或，或者(表示选择)；即，大约；否则,,,,,,,,,,,,,
oral,adj.,口头的,,,,,,,,,,,,,
orange,n.,"柑,桔,橙",,,,,,,,,,,,,
orbit,n.,轨道,v.,(使)沿轨道行,,,,,,,orbiting,orbited,orbited,,
orchard,n.,"果园,果园里的全部果树,<美俚>棒球场",,,,,,,,,,,,,
orchestra,n.,管弦乐队,,,,,,,,,,,,,
order,n.,命令;次序;整齐;定货单;等级,v.,"定制,订购",,,,,,,ordering,ordered,ordered,,
orderly,adj.,"整齐的,有秩序的,有条理的",n.,勤务兵,,,,,,,,,,,
ordinary,adj.,"普通的,平凡的,平常的;平庸的",,,,,,,,,,,,,
ore,n.,"矿石,矿砂",,,,,,,,,,,,,
organ,n.,"器官;机构,机关;风琴",,,,,,,,,,,,,
organic,adj.,器官的;有机的;有机体的,,,,,,,,,,,,,
organism,n.,生物，有机体,,,,,,,,,,,,,
organization,n.,"(organization)组织,团体,机构",,,,,,,,,,,,,
organize,v.,"(organise)组织,编组",,,,,,,,,organizing,organized,organized,,
orient,n.,"东方,亚洲",v.,"使朝东,为…定位,使适应",,,,,,,orienting,oriented,oriented,,
oriental,adj.,"东方的,东方诸国的",n.,东方人,,,,,,,,,,,
orientation,n.,"方向,方位,定位,倾向性,向东方",,,,,,,,,,,,,
oriented,adj.,以…为方向的，定向的，导向的,,,,,,,,,,,,,非大纲单词
origin,n.,"起源,由来;出身,来历",,,,,,,,,,,,,
original,adj.,"最初的,原文的;新颖的",n.,"原物,原作,原文",,,,,,,,,,,
originally,adv.,最初，原先；独创地,,,,,,,,,,,,,非大纲单词
originate,v.,"(in,from)起源,发生;首创,创造",,,,,,,,,originating,originated,originated,,
ornament,v.,"装饰,美化",n.,"装饰,装饰物",,,,,,,ornamenting,ornamented,ornamented,,
orphan,n.,孤儿,,,,,,,,,,,,,
orthodox,adj.,"传统的,正统的,习惯的,保守的,东正教的",,,,,,,,,,,,,
other,adj.,另外的，其他的,n.&pron.,另一个人(或事),,,,,,,,,,,
otherwise,adv.,"另样,用别的方法;在其他方面",conj.,要不然,,,,,,,,,,,
ought,aux.,"应该(使用时,之后应接 to,再接动词原形)",,,,,,,,,,,,,
ounce,n.,"盎司,英两",,,,,,,,,,,,,
our,pron.,[we 的所有格]我们的,,,,,,,,,,,,,
ours,pron.,[we 的物主代词]我们的(所有物),,,,,,,,,,,,,
ourselves,pron.,[反身代词]我们自己；我们亲自,,,,,,,,,,,,,
out,adv.,出去；离家；突出来,adj.,外面的，往外去的,,,,,,,,,,,
outbreak,n.,"(战争,愤怒,火灾等的)爆发,(疾病的)发作",,,,,,,,,,,,,
outcome,n.,"结果,成果",,,,,,,,,,,,,
outdoor,adj.,"室外的,野外的",,,,,,,,,,,,,
outer,adj.,"外部的,外面的,外层的",,,,,,,,,,,,,
outfit,n.,"用具,机构,全套装配",v.,"配备,(得到)装备",,,,,,,outfitting,outfitted,outfitted,,
outing,n.,"外出,旅行,散步",,,,,,,,,,,,,
outlet,n.,"出路,出口;销路,市场;发泄方法;电源插座",,,,,,,,,,,,,
outline,n.,"轮廓,略图;大纲,梗概",v.,"概述,略述",,,,,,,outlining,outlined,outlined,,
outlook,n.,"景色,风光;观点,见解;展望,前景",,,,,,,,,,,,,
output,n.,"产量,输出(量)",,,,,,,,,,,,,
outrage,n.,"暴行,侮辱,愤怒",v.,"凌辱,引起…义愤,强奸",,,,,,,outraging,outraged,outraged,,
outset,n.,"开始,开端",,,,,,,,,,,,,
outside,adv.,向外面,n.,外部,adj.,外部的,prep.,在…外,,,,,,,
outskirts,n.,郊区,,,,,,,,,,,,,
outstanding,adj.,"突出的,显著的,杰出的",,,,,,,,,,,,,
outward,adj.,"外面的,公开的,向外的",adv.,"向外,在外",n.,外表,,,,,,,,,
oval,adj.,卵形的，椭圆形的,n.,卵形，椭圆形,,,,,,,,,,,
oven,n.,"炉,灶,灶箱",,,,,,,,,,,,,
over,adv.,在上方；遍及地,prep.,在的上方,adj.,结束的,,,,,,,,,
overall,adj.,"全面的,综合的",n.,(pl.)(套头)工作服,,,,,,,,,,,
overcoat,n.,"外衣,大衣",,,,,,,,,,,,,
overcome,v.,"战胜,克服",,,,,,,,,overcoming,overcame,overcome,,
overflow,v.,"(使)外溢,(使)溢出;溢出,流出,漫出",,,,,,,,,overflowing,overflowed,overflowed,,
overhead,adj.,在头顶上的;架空的,adv.,在头顶上,,,,,,,,,,,
overhear,v.,"偶然听到,从旁听到",,,,,,,,,overhearing,overheard,overheard,,
overlap,v.,"重叠,与…交叠",n.,重叠,,,,,,,overlaping,overlaped,overlaped,,
overlook,v.,"看漏,忽略;俯瞰,眺望;宽容,放任",,,,,,,,,overlooking,overlooked,overlooked,,
overnight,adj.,"通宵的,晚上的",adv.,"在昨夜,一夜工夫,突然",,,,,,,,,,,
overpass,n.,过街天桥,vt.,"胜过,通过,忽视",,,,,,,overpassing,overpassed,overpassed,,
overseas,adj.,"外国的,海外的",adv.,在海外,,,,,,,,,,,
overtake,v.,"追上,超过,突然降临,压倒",,,,,,,,,overtaking,overtook,overtaken,,
overthrow,v.&n.,"推翻,颠覆",,,,,,,,,overthrowing,overthrew,overthrown,,
overtime,adj.,"超时的,加班的",adv.,加班,,,,,,,,,,,
overturn,n.,"倾覆,破灭,革命",v.,"打翻,推翻,颠倒,翻倒",,,,,,,overturning,overturned,overturned,,
overwhelm,v.,"淹没,覆没,压倒,制服,使不知所措",,,,,,,,,overwhelming,overwhelmed,overwhelmed,,
overwhelming,adj.,"势不可挡的,压倒的",,,,,,,,,,,,,
owe,v.,"欠(债等),应向…付出,归功于,得感谢",,,,,,,,,owing,owed,owed,,
owing,adj.,"欠的,未付的",,,,,,,,,,,,,
owl,n.,猫头鹰,,,,,,,,,,,,,
own,adj.,(用在所有格后面，加强语气)自己的,,,,,,,,,,,,,
owner,n.,"物主,所有者",,,,,,,,,,,,,
ownership,n.,"所有(权),所有制",,,,,,,,,,,,,
ox,n.,"牛,公牛",,,,,,,,,,,,,
oxide,n.,[化]氧化物,,,,,,,,,,,,,
oxygen,n.,"氧,氧气",,,,,,,,,,,,,
ozone,n.,臭氧；(海岸等的)新鲜空气,,,,,,,,,,,,,
pace,n.,"步,步伐,步调,速度",v.,"踱步,用步测",,,,,,,pacing,paced,paced,,
pack,v.,"捆扎,打包;塞满,挤满",n.,"包裹,背包,一群/副",,,,,,,packing,packed,packed,,
package,n.,"包装,包裹,箱,包装费,标准部件,成套设备",,,,,,,,,,,,,
packet,n.,"小包裹,小捆;盒;一捆,一扎;邮船,班轮",,,,,,,,,,,,,
pact,n.,"合同,条约,公约,协定",,,,,,,,,,,,,
pad,n.,"垫,衬垫;便笺簿",v.,加上衬垫,,,,,,,padding,padded,padded,,
paddle,n.,桨,v.,用桨划,,,,,,,paddling,paddled,paddled,,
page,n.,"页,记录,事件,专栏",vt.,给…标页码,,,,,,,paging,paged,paged,,
pail,n.,"桶, 提桶; 一桶的量",,,,,,,,,,,,,
pain,n.,"痛,痛苦;(pl.)努力,劳苦",vt.,使痛苦,,,,,,,paining,pained,pained,,
painful,adj.,"疼痛的,使痛苦的,费力[心]的,棘手的",,,,,,,,,,,,,
paint,n.,"油漆,颜料",v.,"油漆;涂,涂漆;画;描绘,描述",,,,,,,painting,painted,painted,,
painter,n.,"漆工,画家",,,,,,,,,,,,,
painting,n.,"上油漆,着色;绘画;油画;画法",,,,,,,,,,,,,
pair,n.,"一对,一双;一副;夫妇",v.,"配对,成对",,,,,,,pairing,paired,paired,,
palace,n.,"宫,宫殿",,,,,,,,,,,,,
pale,adj.,"苍白的,灰白的;浅的,暗淡的",,,,,,,,,,,,,
palm,n.,"手掌,掌状物,棕榈",vt.,"与…握手,藏…于掌中",,,,,,,palming,palmed,palmed,,
pamphlet,n.,小册子,,,,,,,,,,,,,
pan,n.,"平底锅,盘子,面板",,,,,,,,,,,,,
panda,n.,熊猫,,,,,,,,,,,,,
panel,n.,"面,板;控制板,仪表盘;专门小组",,,,,,,,,,,,,
panic,n.&adj.,"恐慌(的),惊慌(的)",vt.,"使惊慌,使害怕",,,,,,,panicking,panicked,panicked,,
panorama,n.,"全景,全景画,全景摄影,全景照片[装置]",,,,,,,,,,,,,
pant,n.,喘气,v.,"喘,气喘吁吁地说",,,,,,,panting,panted,panted,,
pants,n.,"裤子, 短裤",,,,,,,,,,,,,
paper,n.,纸；纸制品；报纸；(pl)文件；试卷；论文,,,,,,,,,,,,,
paperback,n.,平装本，简装本,,,,,,,,,,,,,
parachute,n.,降落伞,v.,跳伞,,,,,,,parachuting,parachuted,parachuted,,
parade,n.&v.,"游行,夸耀",n.,"检阅,阅兵式",v.,使列队行进,,,,,parading,paraded,paraded,,
paradigm,n.,典范; 范例; 示例,,,,,,,,,,,,,
paradox,n.,"似非而是的话,自相矛盾的话,反论",,,,,,,,,,,,,
paragraph,n.,"段,节;小新闻,短评",,,,,,,,,,,,,
parallel,adj.,"平行的,相同的,类似的",n.,"平行线,类似,对比",,,,,,,,,,,
paralyze,v.,(paralyse)使瘫痪(麻痹);使丧失作用,,,,,,,,,paralyzing,paralyzed,paralyzed,,
parameter,n.,"参数,参量",,,,,,,,,,,,,
parasite,n.,"寄生虫,食客",,,,,,,,,,,,,
parcel,n.,"包裹,邮包,部分",v.,"打包,捆扎,分配",,,,,,,parceling,parceled,parceled,,
pardon,n.,"原谅,宽恕;请再说一遍",v.,"原谅,饶恕,赦免",,,,,,,pardoning,pardoned,pardoned,,
parent,n.,"父母,母亲;(pl.)双亲;父母",,,,,,,,,,,,,
park,n.,"公园,停车场,运动场",v.,"停放(汽车等),寄放",,,,,,,parking,parked,parked,,
parliament,n.,"国会,议会",,,,,,,,,,,,,
part,n.,"部分,角色,一方,零件,地区,部,篇",v.,使分开,,,,,,,parting,parted,parted,,
partial,adj.,"部分的,不完全的;偏袒的,不公平的,偏爱的",,,,,,,,,,,,,
participant,n.,"参加者,参与者",adj.,"有份的,参与的",,,,,,,,,,,
participate,v.,"(in)参与,参加;分享,分担;含有,带有",,,,,,,,,participating,participated,participated,,
particle,n.,"粒子,微粒;极小量;小品词,虚词",,,,,,,,,,,,,
particular,adj.,"特殊的,苛求的,个别的",n.,"详情,细节,特色",,,,,,,,,,,
partly,adv.,"部分地,不完全地,在一定程度上",,,,,,,,,,,,,
partner,n.,"合作者,合伙人,合股人,伙伴,舞伴,配偶",,,,,,,,,,,,,
party,n.,"聚会,政党,当事人",v.,举行(参加)社交聚会,,,,,,,partying,partied,partied,,
pass,v.,经/通/穿/度过；传递,n.,通行证；考试及格,,,,,,,passing,passed,passed,,
passage,n.,"通过,经过;通路,走廊;(一)段落,(一)节",,,,,,,,,,,,,
passenger,n.,"乘客,旅客",,,,,,,,,,,,,
passer-by,n.,(pl.passers-by)过路人,,,,,,,,,,,,,
passion,n.,"热情,激情,爱好;激怒;强烈感情",,,,,,,,,,,,,
passionately,adv.,热情地，激昂地；深情地,,,,,,,,,,,,,非大纲单词
passive,adj.,"被动的,消极的",,,,,,,,,,,,,
passport,n.,"护照,达到某种目的的手段",,,,,,,,,,,,,
past,adj.,过去的,adv.,过,n.,过去，昔日,prep.,(经)过,,,,,,,
paste,n.,"糊,浆糊",v.,"粘,贴",,,,,,,pasting,pasted,pasted,,
pastime,n.,"消遣,娱乐",,,,,,,,,,,,,
pasture,n.,"牧草地,牧场",,,,,,,,,,,,,
pat,v.&n.,"轻拍,轻打,抚摸",,,,,,,,,patting,patted,patted,,
patch,n.,"补丁,斑点,碎片小块",v.,"补,修补,掩饰",,,,,,,patching,patched,patched,,
patent,adj.,"专利的,特许的",n.,专利(权、品),v.,批准专利,,,,,patenting,patented,patented,,
path,n.,"小路,小径;路线,轨道",,,,,,,,,,,,,
pathetic,adj.,"可怜的, 悲惨的",,,,,,,,,,,,,
patience,n.,"耐心,忍耐",,,,,,,,,,,,,
patient,adj.,"有耐心的,能忍耐的",n.,"病人,患者",,,,,,,,,,,
patriotic,adj.,爱国的,,,,,,,,,,,,,
patrol,v.,巡逻，巡查,n.,巡逻，巡查；巡逻队,,,,,,,patrolling,patrolled,patrolled,,
patron,n.,赞助人；资助人；老顾客，老主顾,,,,,,,,,,,,,
pattern,n.,"模式,式样;图案,图样",v.,"仿制,模仿",,,,,,,patterning,patterned,patterned,,
pause,v.&n.,"中止,暂停",,,,,,,,,pausing,paused,paused,,
pave,v.,"铺砌,铺(路)",,,,,,,,,paving,paved,paved,,
pavement,n.,人行道,,,,,,,,,,,,,
paw,n.,爪,,,,,,,,,,,,,
pay,v.,"付款,付出代价,给予注意",n.,"工资,薪金",,,,,,,paying,paid,paid,,
payment,n.,"支付,付款额",,,,,,,,,,,,,
pea,n.,豌豆,,,,,,,,,,,,,
peace,n.,"和平;平静,安宁",,,,,,,,,,,,,
peaceful,adj.,"和平的,平静的,安宁的,爱好和平的",,,,,,,,,,,,,
peach,n.,"桃,桃树",,,,,,,,,,,,,
peak,n.,"山顶,最高点;峰,山峰",adj.,"高峰的,最高的",,,,,,,,,,,
peanut,n.,花生,,,,,,,,,,,,,
pear,n.,"梨子,梨树",,,,,,,,,,,,,
pearl,n.,珍珠,,,,,,,,,,,,,
peasant,n.,(不用于英国或美国)小农;佃农;农民,,,,,,,,,,,,,
pebble,n.,卵石,,,,,,,,,,,,,
peculiar,adj.,"古怪的,异常的;特殊的,特有的",,,,,,,,,,,,,
pedal,n.,踏板,v.,"踩踏板,骑自行车",,,,,,,pedalling,pedalled,pedalled,,
pedestrian,n.,步行者,adj.,"徒步的,呆板的,通俗的",,,,,,,,,,,
peel,v.,"削皮,剥皮",n.,果皮,,,,,,,peeling,peeled,peeled,,
peep,v.,"偷看,窥视",,,,,,,,,peeping,peeped,peeped,,
peer,n.,"同辈, 同等地位的人;贵族",v.,"凝视, 隐约出现",,,,,,,peering,peered,peered,,
pen,n.,"钢笔, 圆珠笔,作家, 围栏",vt.,"写,关入栏中",,,,,,,penning,penned,penned,,
penalty,n.,"处罚,刑罚,惩罚,罚金",,,,,,,,,,,,,
pencil,n.,铅笔,vt.,用铅笔写,,,,,,,penciling,penciled,penciled,,
